Job_Name,Company,Loaction,Job_type,Employees,Followers,Applicant,Industry,Invovlement,Job_Desception,skills
Vice President - HR Business Partner,Morgan Stanley,"Mumbai, Maharashtra, India",On-site,"10,001+ employees","85,380 on LinkedIn",Over 200 applicants,"Financial Services 10,001+ employees 85,380 on LinkedIn",Full-time,"['Understand Strategic Business Objectives and collaborate with Business Units to develop people strategies in order to meet the Talent Management needs of assigned Function(s)', 'Act as internal consultant to all levels of management in order to resolve complex Human Resources issues, including disciplinary actions, performance management and conflict resolution', 'Independently engage with employees across Business Units to successfully monitor the ‘pulse’ of employees, pre-empt risks, and put proactive measures to ensure high levels of engagement', 'Review and analyse business data to identify trends and enable better quality decision making', 'Partner and support teams with in the HR Division - Talent Acquisition, Talent Development, Diversity & Inclusion, Operational Risk, Compensation & Benefits to execute on their respective objectives', 'Collaborate with Business Units to drive change management and transformational initiatives. Provide support, guidance, coaching and training to managers', 'Participate in cross-functional teams for the development and implementation of HR initiatives', 'Possess excellent interpersonal, oral and written communication skills with a proven ability to build solid relationships with global, regional and local stakeholders', 'Strong team player and at the same time takes ownership to drive strategic objectives', 'Should be able to not only conceptualise and drive initiatives but also be willing to get into details', 'Should be able to optimally work with structures as well as navigate through ambiguity', 'Sound judgement on complex, confidential and sensitive matters', 'Should have relevant knowledge of Labour Laws, Compliance and Regulations', 'Proven project management experience to drive initiatives and take them to logical conclusion', 'Adaptable and creative approach to address issues and solve problem', 'Bachelor’s Degree', '10+ years in Human Resources', 'Business Partner experience in Banking and Financial Services preferred']",Human Resources (HR)CoachingAddCompensation & BenefitsAddCompensation ManagementAddConflict ResolutionAddGlobal HRAddLabor and Employment LawAddPerformance ManagementAddProgressive DisciplineAddTalent ManagementAdd
Export Sales Manager,Health Biotech Limited,"Chandigarh, Chandigarh, India",On-site,"501-1,000 employees",272 on LinkedIn,Over 200 applicants,"Pharmaceuticals 501-1,000 employees 272 on LinkedIn",Full-time,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",Contract NegotiationAddCustomer Relationship Management (CRM)AddEmployee BenefitsAddExportAddExport DocumentationAddNew Business DevelopmentAddNew MarketsAddPharmaceuticalsAddRegulatory AffairsAddRegulatory ComplianceAddRelationship BuildingAddSAP ERPAddSales StrategyAdd
Management Trainee-HMS030832,Genpact,"Gurugram, Haryana, India",On-site,"10,001+ employees","130,090 on LinkedIn",44 applicants,"Information Technology & Services 10,001+ employees 130,090 on LinkedIn",Contract · Associate,"['Experience in preparation and review of Operating Plan/budgets and forecasts/outlook', 'Management reporting (MIS reports, Revenue and Cost Analysis, Variance Analysis) with detailed commentary and analysis', 'Generate insights into business performance to help drive improved financial results and facilitate fact based decision making', 'Provide objective and analytical insights on financial impact and soundness of business decisions to the top management', 'Continuously monitor business performance, act as a fact-based challenger, and develop recommendations for improvements', 'Drive discussions with senior stake holders on margin improvements, revenue and other improvements', 'Partner cross-functionally providing a breadth of insight and financial decision support', 'Provide financial modeling, business case and analysis for various ad-hoc financial projects and requirements', 'Preparation of Pricing, business case and commercials and involve in contract preparation and discussions with customer on financial aspects of the contract', 'Managing customer contracts from commercial stand point and discussion with customer on commercial aspects', 'Actively take part and provide innovative thoughts/ideas and drive org wide initiatives', 'Effective leader with distinguished skills in training & motivating a large workforce for accomplishing greater operational efficiency & high-resolution rate', 'C.A / CMA/ MBA', 'Robust analytics experience', 'Prior experience in FP&A Domain', 'Experience in Finance function', 'Ability to handle leadership queries and quick turnaround']",Analytical SkillsAddBudgeting & ForecastingAddBusiness Case PreparationAddFinanceAddFinancial ModelingAddFinancial ProjectsAddFinancial ResultsAddQuantitative AnalyticsAddQuantitative FinanceAddQuick TurnaroundAdd
"Engineer II, SW",HARMAN International,"Bengaluru, Karnataka, India",Full-time · Associate,"10,001+ employees","23,742 on LinkedIn",22 applicants,"Consumer Electronics 10,001+ employees 23,742 on LinkedIn",Full-time · Associate,"['Candidate shall be responsible for high/low level design as per the assigned feature.', 'Candidate shall be responsible for technical code delivery to a specific Ignite customer from inception through completion.', 'Candidate shall be responsible to interface with internal/external leads', 'Candidate shall be responsible for the peer code review', 'Candidate shall drive the Delivery and Integration phases and proactive on interfacing with required stack holder(s) to avoid any delivery impact.', '', '', '', '', '', '', '', '', '', '', '', '', '']",Back-End Web DevelopmentAddCode ReviewAddHibernateAddLevel DesignAddLow-Level DesignAddObject-Oriented Programming (OOP)AddProgrammingAddREST APIsAddTomcatAddWeb ServersAdd
Assistant Manager - Technology,Mashreq,"Bangalore Urban, Karnataka, India",Hybrid,"1,001-5,000 employees","7,894 on LinkedIn",107 applicants,"Banking 1,001-5,000 employees 7,894 on LinkedIn",Full-time · Mid-Senior level,"['Responsible for support of new solutions across the range of RPA tools', 'Estimate, propose, design, build & document solutions on RPA.', 'Expertise in RPA products. Atleast on Blueprism and Power automate.', 'Understand existing RPA processes and making changes to the code.', 'Ability to debug the code and identify the issues.', 'Responsible for application architecture and design.', 'Hands-on experience with business process modeling, simulation and conducting playback Help business in solution preparation/bug fixes, product demonstrations, responding to business requests etc.', 'Data requests and data patches, Engage and carry out change management activities such as process definitions, implementations, user acquaintance.', 'Develop application blueprints, roadmaps and data migration strategies.', 'Manage Vendor Partners & Execute projects for specialized areas.', 'Troubleshoot issues and provide technical solutions Responsible for RPA Upgrade activities and migrate before EOL application support Develop dashboards for technology and operation teams.']",Analytical SkillsAddApplication ArchitectureAddBlue PrismAddProduct DemonstrationAddRobotic Process Automation (RPA)AddService-Level Agreements (SLA)Add
Field Service Engr II,Honeywell,"Mumbai, Maharashtra, India",On-site,"10,001+ employees","123,604 on LinkedIn",51 applicants,"Electrical & Electronic Manufacturing 10,001+ employees 123,604 on LinkedIn",Full-time · Entry level,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",3rd Party IntegrationsAddCommunicationAddField ServiceAddIBMSAddService LevelsAddStatements of Work (SOW)Add
Management Information System Executive( Entry Level),Merkle Sokrati,"Pune, Maharashtra, India",On-site,"501-1,000 employees","1,121 on LinkedIn",Over 200 applicants,"Marketing & Advertising 501-1,000 employees 1,121 on LinkedIn",Full-time · Entry level,"['Responsible for preparation and analysis of performance report.', 'Understanding client goals, creating and executing strategies to exceed these goals.', 'Coordination with Internal Teams and delivering desired output to stakeholders', 'Internal Process Automation by coordination with Tech team.', 'Planning & Organizing – to be able to handle multiple requests daily and take timely decisions for prioritization of tasks', 'Comfortable working with CRM, Excel and PowerPoint.', 'A tech graduate (BE, B.Sc) & having experience of 6-12 month (maximum)', 'You have prior experience into MIS and Service management.', 'Prior experience in BPO/KPO would be a plus.', 'You are exceptional at problem-solving, analytical skills and business understanding.', 'You are great at articulating your thoughts and presenting a clear well-defined structure.', 'Love Digital Marketing and everything around it.', 'And most importantly, LOVE customers & strive for every inch of their satisfaction.']",Analytical SkillsAddBusiness Process Outsourcing (BPO)AddCommunicationAddKnowledge Process Outsourcing (KPO)AddManagement Information Systems (MIS)AddMicrosoft ExcelAddOrganization SkillsAddProblem SolvingAddProcess AutomationAdd
Senior Executive,EXL,"Gurgaon, Haryana, India",On-site,"10,001+ employees","27,523 on LinkedIn",97 applicants,"Information Technology & Services 10,001+ employees 27,523 on LinkedIn",Full-time · Mid-Senior level,"['Should have 2+ years’ experience in a fraud, dispute and risk related role which includes direct customer support', 'Reviewing and verifying real time transactions and supporting documentation if required.', 'Analyzing transaction risk and requesting additional information as necessary.', 'Ensuring compliance with regulatory standards.', 'Ensuring compliance with company/client policies and guidelines.', 'Documenting and effectively communicating reasons for the approval/rejection of transactions.', 'Monitors numerous real-time queues and reviews high-risk transactions from specified points-of-sale requiring demonstrated decision making and critical thinking skills', 'Using departmental policies determines if transactions are fraudulent or risky and should be canceled and refunded, or are legitimate and should be processed and fulfilled on the largest dollar amounts', 'Maintains or exceeds established service level agreements and guidelines for timely resolution of queued transactions to minimize potential revenue losses', 'Contacts and effectively communicates with customers and internal partners to ensure all SLAs are achieved with little or no supervision.', 'Effectively manages incoming communication via multiple channels (phone, email, and Customer Relationship Management systems) from both internal and external customers; resolves all issues within established service-level agreements', 'Conducts analysis of transactional and customer records to link unidentified transactions and accounts to known fraudulent activity', 'May Interact with other Risk teams on developing fraud prevention strategy and process', 'Productivity', 'Quality / Accuracy', 'Turn Around Time and Cycle Time of work assigned', 'Process Improvement initiatives', 'Domain expertise and certifications scores', 'Schedule adherence, Punctuality and Discipline', 'Attention to detail', 'Commitment and drive for results', 'Questioning, reasoning and analytical', 'Adaptable and Flexible', 'Requires shift-work, including weekends, non-business hours and holidays', 'Business Etiquette', 'Basic strong internet research, Google Docs, and overall PC skills', 'Typing speed of 30 words with high accuracy', 'Strong team player', 'Ability to communicate correctly (grammatically and contextually correct) and clearly. Good business writing skills', 'High accuracy at work', 'Self-Discipline, Listening, Patience', ""Bachelor's degree required (B.Com or BBA) preferably in Commerce stream."", 'Good English Comprehension Skills', 'Preference will be given to people with 2+ years’ experience in fraud and risk investigation.']",Attention to DetailAddBusiness WritingAddDispute ResolutionAddEtiquetteAddFraud InvestigationsAddGoogle DocsAddOnline ResearchAddRegulatory StandardsAddReport WritingAddSoft SkillsAdd
"Sr, Associate - Billing Support-ANA007297",Genpact,"Gurugram, Haryana, India",On-site,"10,001+ employees","130,090 on LinkedIn",52 applicants,"Information Technology & Services 10,001+ employees 130,090 on LinkedIn",Full-time · Associate,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",Analytical SkillsAddAnalyticsAddClient ContactAddCommunicationAddCustomer ServiceAddCustomer Service SystemsAddProblem SolvingAddSales PresentationsAddWritten CommunicationAdd
Technical Manager,Expleo Group,"Chennai, Tamil Nadu, India",Hybrid,"10,001+ employees","13,569 on LinkedIn",46 applicants,"Information Technology & Services 10,001+ employees 13,569 on LinkedIn",Full-time · Mid-Senior level,"['Analyzing business requirements and creating cloud solutions that meet those needs.', 'Designing and implementing secure, scalable, and highly available cloud infrastructure.', 'Migrating existing on-premise applications and data to the cloud.', 'Managing and monitoring cloud resources, applications, and services.', 'Creating and maintaining architecture diagrams and documentation.', 'Collaborating with development teams to ensure seamless integration between cloud services and applications.', 'Staying up-to-date with new Azure services and features, and providing recommendations for adoption.', 'Providing expert guidance on cloud security and compliance.', 'Cost optimization of cloud resources and services.', 'Troubleshooting production issues and providing technical support']",Cloud ComputingAddCloud InfrastructureAddCloud ManagementAddCloud ServicesAddTest Automation ToolsAdd
Network Security- CISCO ( Firewall )/Palo Alto Analyst,Tata Consultancy Services,"Hyderabad, Telangana, India",Hybrid,"10,001+ employees","551,901 on LinkedIn",194 applicants,"Information Technology & Services 10,001+ employees 551,901 on LinkedIn",Full-time · Mid-Senior level,"['2-5 years of experience with Network Security Tools and Solutions', 'Industry certifications like CCNP Security, F5 LTM certification', 'Knowledge of Firewall compliance tool like Algosec, Tufin, Skybox', 'Understanding of working of Network Access Technology']",CCNP SecurityAddCisco Systems ProductsAddCybersecurityAddF5AddFirewallsAddNetwork SecurityAddPalo Alto NetworksAddSecurity ToolsAddTufinAddVirtual Private Network (VPN)Add
People Business Partner,Velocity Global,"Itanagar, Arunachal Pradesh, India",Remote,"501-1,000 employees",872 on LinkedIn,Over 200 applicants,"Financial Services 501-1,000 employees 872 on LinkedIn",Full-time · Mid-Senior level,"['As a trusted partner deeply engrained in the business, works closely with centers of expertise across the global People Team to deliver people programs and services aligned to business needs. This includes leadership capability, people development, organizational design, performance management, change management, talent management, talent acquisition, culture, and total rewards.', 'Gains credibility and tailors solutions utilizing strong business literacy about the company’s financial position, its midrange plans, its culture, and its competition.', 'Partners with leaders to improve work relationships, build morale, ensure an inclusive culture, and increase productivity and retention.', 'Consults with leaders to instill a high-performance culture. Effectively develops metrics, analytics, and insights to tailor interventions to drive people performance.', 'Acts as an employee champion and a change agent.', 'Manages and resolves complex employee relations issues timely and discreetly.', 'Operating in 52+ countries, proactively consults regional experts while continually growing own expertise.', 'As the APAC regional expert, champions regional needs and provides guidance to the business partner team.', 'As a team player on the broader HR team, contributes to projects, improves processes, and rolls up sleeves to do what’s needed to ensure excellent service and results.', 'Five+ years HR experience with direct experience as a People Business Partner in a global environment.', 'Bachelor degree or equivalent required. HR certification preferred.', 'Ability to build relationships by demonstrating a record of trust, timeliness, and integrity.', 'Strong working knowledge of employment laws, HR best practices, and practical application across multiple countries in the APAC region.', 'Willing and able to flex between high-level, strategic thinking and hands on implementation.', 'Successful track record in fast paced, ambiguous environment. Dives into the unknown, seeks creative solutions, and leaves a path of clarity.', 'Demonstrated ability to analyze situations, formulate conclusions, and present solutions to business issues in a compelling manner.', 'Strong data analysis and data management skills.', 'Strong verbal and written communication skills.', 'Velocity: Exceeding expectations of our customers, colleagues, and ourselves by delivering swift and effective results.', 'Integrity: Doing right by our customers, colleagues, and ourselves through honest and ethical actions.', 'Be Bold: Daring to take risks, learn, and grow to benefit our customers, colleagues, and ourselves.', 'Empowerment: Owning our decisions and being accountable for the impact we have on our customers, colleagues, and ourselves.', 'Service: Supporting our customers, colleagues, and ourselves with respect and empathy.']",Human Resources (HR)Business Process ImprovementAddCommunicationAddCreative Problem SolvingAddData AnalyticsAddEmployee RelationsAddMoraleAddStrategic ThinkingAddWritten CommunicationAdd
Lead Administrator,Wipro,"Mumbai, Maharashtra, India",On-site,"10,001+ employees","300,440 on LinkedIn",14 applicants,"Information Technology & Services 10,001+ employees 300,440 on LinkedIn",Full-time,"['Provide adequate support in architecture planning, migration& installation for new projects in own tower (platform/dbase/middleware/ backup)', 'Lead the structural/ architectural design of a platform/middleware/ database/ back up etc. according to various systemrequirements to ensure a highly scalable and extensiblesolution', 'Conduct technology capacity planning by reviewing the currentand future requirements', 'Utilize and leverage the new features of all underlyingtechnologies to ensure smooth functioning of the installed databases andapplications/ platforms, as applicable', 'Strategize & implement disaster recovery plans and createand implement backup and recovery plans', 'Manage the day-to-day operations of the tower', 'Manage day-to-day operations by troubleshooting any issues,conducting root cause analysis (RCA) and developing fixes to avoidsimilar issues.', 'Plan for and manage upgradations, migration, maintenance,backup, installation and configuration functions for own tower', 'Review the technical performance of own tower and deploy ways toimprove efficiency, fine tune performance and reduce performancechallenges', 'Develop shift roster for the team to ensure no disruption in thetower', 'Create and update SOPs, Data Responsibility Matrices, operationsmanuals, daily test plans, data architecture guidance etc.', 'Provide weekly status reports to the client leadership team,internal stakeholders on database activities w.r.t. progress, updates,status, and next steps', 'Leverage technology to develop Service Improvement Plan (SIP)through automation and other initiatives for higher efficiency andeffectiveness', 'Team Management', 'Resourcing', 'Forecast talent requirements as per the current and future businessneeds', 'Hire adequate and right resources for the team', 'Train direct reportees to make right recruitment and selectiondecisions', 'Talent Management', 'Ensure 100% compliance to Wipro?s standards of adequateonboarding and training for team members to enhance capability &effectiveness', 'Build an internal talent pool of HiPos and ensure their careerprogression within the organization', 'Promote diversity in leadership positions', 'Performance Management', 'Set goals for direct reportees, conduct timely performance reviewsand appraisals, and give constructive feedback to direct reports.', 'Ensure that organizational programs like Performance Nxt are wellunderstood and that the team is taking the opportunities presented bysuch programs to their and their levels below', 'Employee Satisfaction and Engagement', 'Lead and drive engagement initiatives for the team', 'Track team satisfaction scores and identify initiatives to buildengagement within the team', 'Proactively challenge the team with larger and enriching projects/initiatives for the organization or team', 'Exercise employee recognition and appreciation', 'Functional Competencies/ Skill', 'Technical Knowledge ? Knowledge of own tower (platform,application, database etc) - Expert', 'Domain Knowledge ? Understanding of IT industry and itstrends ? Competent to Expert', 'Behavioral Competencies', 'Managing Complexity', 'Client centricity', 'Execution Excellence', 'Passion for Results', 'Team Management', 'Stakeholder Management', '', '']",CSATAddCapacity PlanningAddDatabase AdministrationAddDatabasesAddJob SatisfactionAddListsAddRCAAddRoot Cause AnalysisAddService ImprovementAddTroubleshootingAdd
IT Project Management Lead,Honeywell,"Pune, Maharashtra, India",On-site,"10,001+ employees","123,604 on LinkedIn",84 applicants,"Electrical & Electronic Manufacturing 10,001+ employees 123,604 on LinkedIn",Full-time · Mid-Senior level,"['Ensure the achievement of Honeywell Enterprise common business processes and common, standardized ERP solutions', 'Define and manage project scope, align with overall business priorities and total ERP Deploy program requirements', 'Manage and drive execution of all deployment activities, from project initiation to post-go-live and project closure. Manage the tollgate process.', 'Ensure that each deployment project has an effective resource plan (FIL, Super Users, CoE) that meets the skill-set required and budget requirements for successful implementation including any required Super User backfills', 'Direct all deployment resources in the ERP deployment project', 'Ensure that ERP Deploy best practice implementation methodology and tools are utilized in all deployment projects and deliver all required project status updates including financial management and IT-PPM updates as per the ERP Deploy MOS.', 'Manage overall delivery of cutover plans from legacy ERP to Core Honeywell ERP systems including resources, metrics and ramp up plans', 'Coach and develop the Deployment project teams in the deployment methodology as well as in key behaviors required for a successful implementation.', 'Coordinate and resolve Deployment project status and issues where necessary.', 'Ensure an effective change management process and business readiness in all Deployment projects.', ""Manage IT and business stakeholder's expectations and ensure Deployment projects are tracking to deliver the requirements and ROI as mutually agreed up front."", 'Develop and maintain a productive working relationship with project sponsors, customers, vendors and other key stakeholders.', 'Ensures successful transition to support once the project is live.', 'Work closely with finance, project team and regional deployment leaders to ensure project execution adherence to agreed schedule in line with published ERP roadmap and cost targets', 'Ability to work collaboratively with IT staff through the design and build of the new business processes.', '20 - 30% travel', ""Bachelor's degree in a computer-related, information technology, engineering, or operations discipline"", '5+ years’ Senior Project Management experience leading ERP deployment projects or 5+ years of functional leadership on ERP deployment projects', '5+ years of experience with Change Management and business transformation initiatives', '5+ years with implementation of multiple and complex business process and systems change projects.', 'Experience in a large, multi-national company', 'Experience in leading SAP S4 HANA implementation projects', 'Experience in SaaS Business processes and S4 BRIM product suite (including RAR)', 'PMP or equivalent project management qualification', 'Six Sigma background with strong analytical skills', 'Must have experience with internal consulting and demonstrated ability to influence without authority', 'Knowledge in IT process development and implementation', 'Quickly identifies interrelationships and patterns among a variety of problems and issues', 'Conveys information with clarity, ensuring the message is understood', 'Demonstrates ability to deliver on complex problems without guidance or supervision', 'Excellent written and oral communication skills across a diverse range of cultures', 'Highly team-oriented. Can operate effectively in global networks', 'JOB ID: HRD188225', 'Category: Information Technology', 'Location: Gate # 181, Fulgaon Village, Pune,Pune,MAHARASHTRA,412216,India', 'Exempt']",Business ReadinessAddBusiness TransformationAddEnterprise Resource Planning (ERP)AddImplementation MethodologyAddInfor Enterprise Resource Planning (ERP)AddInternal/External ConsultingAddProject InitiationAddResource PlanningAddSAP HANAAddStatutory Accounting Principles (SAP)Add
Engineer DCS (Sr. Engineer),Emerson,"Mumbai, Maharashtra, India",On-site,"10,001+ employees","41,049 on LinkedIn",82 applicants,"Mechanical Or Industrial Engineering 10,001+ employees 41,049 on LinkedIn",Full-time · Entry level,"['Job DescriptionHighlight Top / Key Responsibilities for this positionReviewing the Customer Project technical requirements, Specifications and Standards for DCS and C&I packages.Performing the DCS detailed engineering, design and development of Application Software, assembly and testing of the DCS system as per the Customer requirements.Preparation of Bill of Material for various DCS and C&I packages with in project scope.Review of Customer input and generate TQ, Coordination with Customer Engineers for technical issues.Preparation and review of Material requisition/Purchase Order for various Projects Materials (DCS and buyout items)Coordination with Project Manager for Project progress, cost control, scope identification and Risk managementDocument Control work for effective project executionAttending Internal Meeting/ Project walk through for achieving Project milestones.Adhering to the Project Schedule & Project Quality Plan.Participating site acceptance test, commissioning and start-up activitiesInstallation & Commissioning of SystemCustomer Training on DCS topicsMinimum 3 - 5 years of work experience related to DCS/PLC system engineering activities for automation of Thermal power plants, Hydro Power plants, Gas power plants and Captive power plants.Demonstratable working experience in engineering/Customer FAT/commissioning of DCS system for power plants is requiredThorough understanding of Power plant related processes is requiredPrevious working experience in hardware and/or software engineering of any OEM DCS/PLC system is preferableWorking knowledge of establishing communication/Interface with third party System over Modbus, Profibus and other digital communication bus is desirableWorking knowledge of Foundation Fieldbus/Profibus System design, commissioning and troubleshooting is added advantageField commissioning experience related to Power plant C&I packages is desirableShould have proficiency in working with MS office applications is mustGood communication skills is mustFamiliarity with AutoCAD tools or Microsoft Visio is added advantage']",C&IAddCommunicationAddDistributed Control System (DCS)AddPower PlantsAddTechnical RequirementsAdd
Facilities Coordinator,JLL,"Bengaluru, Karnataka, India",Full-time · Entry level,"10,001+ employees","75,601 on LinkedIn",2 applicants,"Real Estate 10,001+ employees 75,601 on LinkedIn",Full-time · Entry level,"['Facilities Coordinator - OperationsWork DynamicsHere in [ India ], we manage [4] sites, hosting over [3000] people.']",CommunicationAddCustomer SatisfactionAddHousekeepingAddIncident ReportingAddKey Performance IndicatorsAddOccupational HealthAddReceptionist DutiesAddService LevelsAddService-Level Agreements (SLA)AddVendor ManagementAdd
OT Security,Tata Consultancy Services,"Hyderabad, Telangana, India",On-site,"10,001+ employees","551,901 on LinkedIn",75 applicants,"Information Technology & Services 10,001+ employees 551,901 on LinkedIn",Full-time · Mid-Senior level,['Greetings from TCS!We are hiring : OT SecurityExperience required: 2-6 yearsLocations – Pan India'],Human Resources (HR)CMCAddCTCAddConsultancy ServicesAddConsultingAddEPAddEducationAddHiringAddLinkedInAddRecruitingAdd
Quality Auditor,BioUrja Group,"Indore, Madhya Pradesh, India",On-site,"501-1,000 employees",178 on LinkedIn,100 applicants,"Oil & Energy 501-1,000 employees 178 on LinkedIn",Full-time · Mid-Senior level,"['Dimensional Inspection of Solid, Hollow Bored Bars and Tubes to both Customer and EA requirements, using varying forms of measuring equipment, and related reporting.', 'Knowledge and practical use of hardness testing equipment (King Brinell), and related reporting.', 'Investigative Inspection of Customer complaints, INCR’s and NCR’s as required, and corrective/preventative action recommendation.', 'Fill any required reports of activity, measurements, dimensions and inspections.', 'Knowledge and practical use of hardness testing equipment (King Brinell), and related reporting.', 'Inspection of Threads and / or any features included on the final drawing.', 'To stop any product that is not in compliance to the customer requirements.', 'To stop any process that seems unsafe and or if it is producing product not matching with customer requirements.', 'To approve or hold incoming materials/MTC for inventory.', 'Bachelor’s degree in engineering or Technology at a reputed University.', 'Minimum two (2) years of experience in a machine shop environment.', 'Experience in API/ISO QMS is preferred.', 'Must have knowledge and experience in handling measuring instruments such as Vernier Calipers, Micrometres, Bore Gauges, Roughness Testers. Etc.', 'Experience in CMM is an advantage.', 'Reading of technical drawings.', 'Knowledge of API Spec 5CT/7-1 products.']",AuditingAddCMMAddCalipersAddCommoditiesAddCustomer RequirementsAddGaugesAddISO StandardsAddInspectionAddMachiningAddTechnical DrawingAdd
Embedded Engr II,Honeywell,"Madurai, Tamil Nadu, India",On-site,"10,001+ employees","123,604 on LinkedIn",34 applicants,"Electrical & Electronic Manufacturing 10,001+ employees 123,604 on LinkedIn",Full-time · Entry level,"['C++, VC++, C#', 'Experience with RDBMS systems viz, SQLite DB.', 'Experience in using design patterns.', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",C++0xAddComputer LiteracyAddComputer NetworkingAddInternet Protocol (IP)AddInternet Protocol Suite (TCP/IP)AddNetworkingAddProgrammingAddSocket ProgrammingAddTransmission Control Protocol (TCP)AddUser Datagram Protocol (UDP)Add
SAP Solution Manager (SolMan) Consultant,HCLTech,"Lucknow, Uttar Pradesh, India",On-site,"10,001+ employees","225,075 on LinkedIn",68 applicants,"Information Technology & Services 10,001+ employees 225,075 on LinkedIn",Full-time · Associate,"['SAP Solman 7.2', 'Experience on SP4 Installation.', 'Mandatory Configuration, Managed System Configuration and System Monitoring Configuration.', '', '', '', '', '', '', '', '', '', '', '', '']",JavaAddSAP ERPAddSAP GatewayAddSAP ProductsAddSap FioriAddSolManAddSystem AdministrationAdd
Claim Administration Staff,Kuehne+Nagel,Mumbai Metropolitan Region,Full-time · Entry level,"10,001+ employees","43,069 on LinkedIn",60 applicants,"Transportation/Trucking/Railroad 10,001+ employees 43,069 on LinkedIn",Full-time · Entry level,"['', '', '', '', '', '', '', '', '', '', '']",Conflict ManagementAddLinguisticsAddProblem SolvingAdd
Sr Product Specialist -Tech,Cognizant,"Chennai, Tamil Nadu, India",On-site,"10,001+ employees","315,222 on LinkedIn",11 applicants,"Information Technology & Services 10,001+ employees 315,222 on LinkedIn",Full-time · Entry level,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",Level DesignAddProduct SpecialistsAddRoot CauseAddTest StrategyAddTraceability MatrixAdd
Associate - Commercial Excellence,Axtria - Ingenious Insights,"Delhi, Delhi, India",Hybrid,"1,001-5,000 employees","3,220 on LinkedIn",18 applicants,"Computer Software 1,001-5,000 employees 3,220 on LinkedIn",Full-time · Entry level,[''],Business Decision MakingAddCommunicationAddCritical ThinkingAddData AnalysisAddIT ServicesAddLogical ApproachAdd
"Walk-in For DTS F&A- RTR, OTC Process at Pune on 23rd, 25th March",Infosys BPM,"Pune, Maharashtra, India",On-site,"10,001+ employees","33,753 on LinkedIn",42 applicants,"Information Technology & Services 10,001+ employees 33,753 on LinkedIn",Full-time · Mid-Senior level,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",Analytical SkillsAddBusiness Process ManagementAddCommunicationAddHR ReportingAddKnowledge ManagementAddMarket AnalysisAddOTCAddPayroll AdministrationAddProject ImplementationAddRFPAdd
